,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,75,AR,1603803259,77,-54.8,-68.3,5.0,10.3
1,mahebourg,40,MU,1603803272,61,-20.41,57.7,26.0,4.1
2,lima,75,PE,1603803493,87,-12.04,-77.03,17.22,3.1
3,yahotyn,0,UA,1603803544,62,50.28,31.76,15.0,5.0
4,kodiak,1,US,1603803213,56,57.79,-152.41,7.0,6.7
5,ahipara,21,NZ,1603803288,92,-35.17,173.17,14.67,1.04
6,constitucion,100,CL,1603803037,68,-35.33,-72.42,12.76,1.96
7,sitka,75,US,1603803293,81,57.05,-135.33,8.0,1.5
8,busselton,100,AU,1603803260,67,-33.65,115.33,18.33,4.28
9,cape town,0,ZA,1603803166,56,-33.93,18.42,21.11,8.2
10,khatanga,100,RU,1603803276,94,71.97,102.5,-15.81,5.67
11,kapaa,100,US,1603803267,68,22.08,-159.32,25.89,1.74
12,castro,71,BR,1603803259,69,-24.79,-50.01,21.13,3.71
13,port keats,11,AU,1603803545,72,-14.25,129.55,27.17,1.66
14,clyde river,41,CA,1603803302,83,70.47,-68.59,-12.98,1.72
15,rikitea,100,PF,1603803260,84,-23.12,-134.97,23.9,8.89
16,alofi,47,NU,1603803278,88,-19.06,-169.92,22.0,3.1
17,hilo,90,US,1603803261,88,19.73,-155.09,23.0,1.5
18,yellowknife,90,CA,1603803039,79,62.46,-114.35,-7.0,6.7
19,albany,40,US,1603803262,73,42.6,-73.97,8.33,0.89
20,saskylakh,100,RU,1603803264,91,71.92,114.08,-18.25,2.9
21,geraldton,40,AU,1603803284,72,-28.77,114.6,19.0,6.2
22,vardo,40,NO,1603803275,81,70.37,31.11,2.0,19.5
23,santa helena de goias,39,BR,1603803546,59,-17.81,-50.6,27.91,2.79
24,abeokuta,15,NG,1603803546,49,7.15,3.35,33.76,0.96
25,aklavik,90,CA,1603803262,92,68.22,-135.01,-11.0,3.22
26,wonthaggi,91,AU,1603803546,87,-38.6,145.59,12.22,6.86
27,leshukonskoye,100,RU,1603803546,97,64.9,45.76,2.18,3.76
28,tuktoyaktuk,92,CA,1603803260,91,69.45,-133.04,-15.53,2.01
29,vaini,20,TO,1603803259,88,-21.2,-175.2,22.0,3.6
30,lavrentiya,100,RU,1603803259,96,65.58,-171.0,-0.93,2.33
31,zomin,100,UZ,1603803546,32,39.96,68.4,14.72,1.38
32,qaanaaq,79,GL,1603803268,79,77.48,-69.36,-13.25,4.86
33,dikson,100,RU,1603803266,96,73.51,80.55,-12.57,8.26
34,puerto escondido,100,MX,1603803310,76,15.85,-97.07,25.79,1.64
35,emilio carranza,98,MX,1603803547,81,19.97,-96.61,23.97,2.98
36,tual,59,ID,1603803547,76,-5.67,132.75,28.36,4.37
37,butaritari,100,KI,1603803268,68,3.07,172.79,27.28,3.72
38,mataura,12,NZ,1603803259,89,-46.19,168.86,6.11,2.24
39,boshnyakovo,42,RU,1603803547,84,49.63,142.17,2.54,1.12
40,punta arenas,40,CL,1603803260,75,-53.15,-70.92,5.0,6.2
41,labuhan,100,ID,1603803281,76,-6.88,112.21,27.85,1.58
42,bereda,100,ES,1603803547,93,43.27,-7.54,14.44,7.15
